num_sommet; nom_sommet; numéro_ligne; si_terminus; branchement (0 stations en commun, 1 pour la direction 1,  2 pour la direction 2, ainsi  de suite ...)
326; Saint-Lazare ;13 ;False; 0
327; Saint-Lazare ;3 ;False; 0
328; Saint-Mandé, Tourelle ;1 ;False; 0
329; Saint-Marcel ;5 ;False; 0
330; Saint-Michel ;4 ;False; 0
331; Saint-Paul, Le Marais ;1 ;False; 0
332; Saint-Philippe du Roule ;9 ;False; 0
333; Saint-Placide ;4 ;False; 0
334; Saint-Sulpice ;4 ;False; 0
335; Saint-Sébastien-Froissart ;8 ;False; 0
336; Sentier ;3 ;False; 0
337; Simplon ;4 ;False; 0
338; Solférino ;12 ;False; 0
339; Stalingrad ;2 ;False; 0
340; Stalingrad ;5 ;False; 0
341; Stalingrad ;7 ;False; 0
342; Strasbourg Saint-Denis ;4 ;False; 0
343; Strasbourg Saint-Denis ;8 ;False; 0
344; Strasbourg Saint-Denis ;9 ;False; 0
345; Sully Morland ;7 ;False; 0
346; Sèvres Babylone ;10 ;False; 0
347; Sèvres Babylone ;12 ;False; 0
348; Sèvres Lecourbe ;6 ;False; 0
349; Ségur ;10 ;False; 0
350; Temple ;3 ;False; 0
351; Ternes ;2 ;False; 0
352; Tolbiac ;7 ;False;  0
353; Trinité d'Estienne d'Orves ;12 ;False; 0
354; Trocadéro ;6 ;False; 0
355; Trocadéro ;9 ;False; 0
356; Tuileries ;1 ;False; 0
357; Télégraphe ;11 ;False; 0
358; Vaneau ;10 ;False; 0
359; Varenne ;13 ;False; 0
360; Vaugirard ;12 ;False; 0
361; Vavin ;4 ;False; 0
362; Victor Hugo ;2 ;False; 0
363; Villejuif, Louis Aragon ;7 ;True; 2
364; Villejuif, Léo Lagrange ;7 ;False; 2
365; Villejuif, P. Vaillant Couturier ;7 ;False; 2
366; Villiers ;2 ;False; 0
367; Villiers ;3 ;False; 0
368; Volontaires ;12 ;False; 0
369; Voltaire ;9 ;False; 0
370; Wagram ;3 ;False; 0
371; École Militaire ;8 ;False; 0
372; École étérinaire de Maisons-Alfort ;8 ;False; 0
373; Église d'Auteuil ;10 ;False; 0
374; Église de Pantin ;5 ;False; 0
375; Étienne Marcel ;4 ;False; 0
